POINT;COORD_Y;COORD_X;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81
14;34°23.00067S;071°25.31814W;0;0;0;0;20;2490;2490;2490;2490;2490;2490;2490;2490;2490;2490;2490;2490;2490;2490;2490;2490;2490;2490;2490;2490;2490;2490;2490;3060;3060;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;7780;6480;3810;3810;3810;3810;3810;3810;3810;3810;3810;3810;3810;3810;3810;3810;3810;3810
15;34°23.00857S;071°25.31346W;110;110;1360;1360;1360;1360;1360;1360;1360;1360;1360;1360;1360;1360;1360;1360;1360;1360;1440;2130;3350;6620;6620;6620;6620;6620;6620;6620;6620;6620;6620;6620;6620;6620;6620;6620;6620;6620;6620;6620;6620;6620;6620;6620;6620;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600
16;34°23.00787S;071°25.30846W;140;140;250;390;390;500;610;610;610;650;650;650;1340;2410;2430;2190;2190;920;910;4490;4980;4980;3350;3350;5030;5390;4770;4770;4770;4770;4770;4770;4770;4770;4770;4770;4770;7230;8400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;34°22.99970S;071°25.29156W;0;0;0;40;40;110;110;290;390;500;500;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1770;1930;2210;2210;2570;2570;2570;2570;2670;2670;2670;2670;2670;2670;2950;3670;5530;5530;5530;5530;5780;5780;6550;6550;6880;6880;6880;6880;6880;5620;5620;5620;5620;5620;3550;3550;3550;3550;3550;3550;3550;3550;3550;3550;4450;4450;4450;4840;4840;4840;4840;3240;3240;3240;3240;3240;3240;3240
18;34°22.99340S;071°25.27994W;210;2180;2180;2180;3130;4250;4250;4250;4250;4250;4250;4250;4250;4250;4250;4250;4250;4250;4250;4250;4250;4250;4250;4250;4250;4250;4250;4250;4250;4250;3040;5900;6570;6570;6570;6570;6570;6570;6570;6570;6570;6570;6570;6570;6570;6570;6570;6570;6570;4520;4520;4520;4520;4520;4520;4520;4520;4520;4520;4520;4520;4520;4520;4520;4520;4520;4520;4520;4520;4520;4520;4520;4520;4520;4520;4520;4520;4520;4520;4520;4520
19;34°22.98642S;071°25.27955W;0;0;220;350;460;540;940;1620;1620;1620;1620;1620;1620;1620;1620;1620;1620;1620;1620;1620;1720;2190;2190;2530;2530;2780;2780;3050;4890;7020;7120;4910;950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;34°22.98516S;071°25.27148W;70;70;70;70;170;330;490;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180;4180
21;34°23.00460S;071°25.25329W;120;120;120;120;210;350;350;350;380;380;430;430;430;430;730;730;730;730;1090;1430;2710;3060;3350;3600;3600;3850;4180;4180;4210;4210;4630;5290;5880;7030;7030;7030;7030;5840;5840;5840;6960;6960;6960;6960;6960;6360;6360;6360;5030;5030;5030;5030;5030;5030;5030;5030;5030;5030;5030;5030;3370;3370;3370;1860;3950;3950;4450;4450;4450;4450;4550;4550;4550;4550;4550;4610;5210;5760;6170;6610;6090
22;34°23.01457S;071°25.26795W;150;150;150;400;660;660;660;800;970;970;1090;1090;1110;1110;1210;1340;1340;1580;1580;1960;2670;2380;1130;5630;5630;5050;5050;6050;5330;5330;5330;5330;6080;6080;6080;6080;6080;6080;6080;6080;6080;5320;7650;7650;7650;6990;6990;5170;5170;5170;5170;5170;5170;5170;5170;5170;5170;5170;5170;5170;5170;5170;5170;5170;5170;5170;5170;5170;5170;5170;5170;5170;5170;5170;5170;3180;5240;6390;6390;6390;6390
23;34°23.02748S;071°25.27489W;130;210;210;750;920;920;1020;1200;1200;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;6140;4450;4450
24;34°23.04346S;071°25.28472W;40;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;290;290;290;290;310;310;310;350;440;440;560;7490;7490;7490;7490;7490;7490;7490;7490;7490;7490;7490;7490;7490;7490;7810;7350;3280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;34°23.04530S;071°25.26426W;280;280;420;930;930;1690;3320;3320;3320;3320;3320;5290;5290;4090;5360;6010;6010;6210;6210;6130;5070;5070;5070;5070;2990;5740;6170;6170;6170;6170;6170;6170;6170;6170;6170;6170;6840;7620;7620;7620;7620;7620;6370;6010;7590;7440;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;34°23.03938S;071°25.24541W;20;20;360;620;1540;2160;2160;2160;2130;2130;2130;2130;2130;2130;2130;2270;2270;3900;3900;3900;2050;2050;2900;3930;4440;4330;4640;5500;5500;5980;5980;6770;6770;6990;6990;6990;6990;6990;6680;6680;6680;3550;5470;5470;5470;5470;6670;6670;6670;6400;6400;6400;6400;6400;6400;6400;6400;6400;6400;6400;6400;6400;6400;2360;2360;6920;7510;7510;7510;7510;7480;7480;7720;7720;3480;4370;;;;;
27;34°23.02789S;071°25.23096W;180;320;320;490;490;800;800;710;710;710;710;710;710;710;710;710;710;710;710;710;710;710;1010;2400;3230;3850;4080;4430;4430;5000;5330;5330;5580;5580;5770;6130;6620;6620;3770;3770;3770;560;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;34°23.02175S;071°25.22090W;0;0;300;520;520;670;770;770;770;830;830;830;1200;1200;1200;1200;1200;1200;1200;1200;1200;1400;2020;3010;3480;3790;4130;4130;4340;4340;4350;4350;4350;4060;4060;4060;4060;4060;3420;3420;3420;3420;3420;3320;3320;3320;3320;3320;3900;3900;3900;2660;2660;2660;2660;2660;2660;2660;2660;2660;2660;2660;3470;3750;3750;3750;3750;3320;3320;3320;3320;3320;3320;3320;2960;2960;2960;2960;2960;2960;2960
29;34°23.02455S;071°25.19894W;2190;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4460;5040;5040;5180;5130;5130;5270;5270;5460;5560;5560;5560;5560;5160;5160;5160;5160;5160;3040;3040;3040;3040;3040;3040;3040;3040;3040;3040;3040;2630;2630
30;34°23.02907S;071°25.17969W;300;530;530;530;740;900;900;900;1030;1030;1030;1030;1030;1030;1030;1070;1070;2210;2760;2760;4170;4170;4170;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830;2830
