id,PR,replicate,xcoord,ycoord,xcoord_2,ycoord_2,type
"1",High PR,"1",-71.4199368188583,-34.3837452778345,277509.862978172,6192639.41892047,sampling site
"2",High PR,"2",-71.4209091709522,-34.3840206113428,277421.174233295,6192606.74411973,sampling site
"3",High PR,"3",-71.4213139308666,-34.3832971974414,277382.03628515,6192686.09720725,sampling site
"4",High PR,"4",-71.4222178684052,-34.3822822686084,277296.220050229,6192796.68884054,sampling site
"5",Low PR,"1",-71.4204994053861,-34.3837568046084,277458.157798973,6192636.90547426,sampling site
"6",Low PR,"2",-71.4208964888036,-34.3834446568808,277420.81516955,6192670.65746624,sampling site
"7",Low PR,"3",-71.4218159733387,-34.3826981032221,277334.280807141,6192751.44680874,sampling site
"8",Low PR,"4",-71.4221405525381,-34.3831222110291,277305.555707585,6192703.69133073,sampling site
